,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,H/A_A,ELO_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,H/A_B,ELO_B,SCORE_A,SCORE_B
42,83.25,85.25,0.41675,0.2745,0.7224999999999999,45.25,15.5,5.5,0.0,1483.413865134259,101.66666666666667,100.66666666666667,0.5296666666666666,0.38066666666666665,0.7346666666666666,37.666666666666664,15.333333333333334,3.6666666666666665,0.5,1526.8941181726723,102,107
43,97.0,86.5,0.4355,0.28500000000000003,0.6995,47.0,12.5,6.0,1.0,1549.6086577942872,94.25,93.25,0.407,0.36825,0.7875000000000001,45.25,18.0,6.5,1.0,1498.2506923817298,113,108
44,93.5,93.0,0.45575,0.35325000000000006,0.6975,40.5,17.0,3.5,0.6666666666666666,1490.97708598499,93.25,88.5,0.45875,0.321,0.6855,43.75,16.5,5.75,1.0,1539.8579447791674,93,99
45,87.33333333333333,94.66666666666667,0.4383333333333334,0.341,0.765,35.333333333333336,16.0,4.333333333333333,0.5,1475.1757318904172,101.33333333333333,101.66666666666667,0.458,0.301,0.7309999999999999,44.333333333333336,16.666666666666668,6.0,0.5,1501.664286978406,80,88
46,89.33333333333333,93.0,0.4346666666666667,0.20200000000000004,0.8056666666666666,40.0,13.666666666666666,5.0,0.0,1462.1007131266995,98.75,101.75,0.41274999999999995,0.32199999999999995,0.6849999999999999,43.5,15.5,5.0,0.0,1472.729309590119,110,113
47,99.2,94.8,0.46159999999999995,0.42540000000000006,0.754,48.8,19.2,5.0,0.6666666666666666,1493.5623287125036,96.0,82.0,0.45766666666666667,0.15733333333333333,0.7276666666666666,44.333333333333336,11.0,3.6666666666666665,1.0,1534.2177648359354,80,93
48,97.66666666666667,108.33333333333333,0.39333333333333337,0.31433333333333335,0.7566666666666667,43.333333333333336,13.666666666666666,0.6666666666666666,0.0,1499.7960300934112,92.66666666666667,100.33333333333333,0.49200000000000005,0.41533333333333333,0.7723333333333334,34.333333333333336,9.333333333333334,1.6666666666666667,0.0,1468.4441406259757,80,92
49,94.0,94.5,0.4505,0.29374999999999996,0.8482500000000001,39.5,10.5,3.25,0.0,1479.9021816535324,105.66666666666667,84.0,0.45333333333333337,0.5263333333333333,0.7783333333333333,51.0,15.666666666666666,5.0,1.0,1576.7812295738752,99,106
50,92.0,89.75,0.43725,0.22849999999999998,0.682,45.75,19.5,4.25,1.0,1553.4678859722037,97.0,86.5,0.4355,0.28500000000000003,0.6995,47.0,12.5,6.0,1.0,1555.376307155924,103,102
51,90.66666666666667,100.66666666666667,0.4216666666666667,0.393,0.75,36.333333333333336,10.333333333333334,3.6666666666666665,0.0,1492.1670773298738,102.75,95.0,0.45999999999999996,0.3175,0.70125,39.25,13.25,6.0,1.0,1525.405727495011,104,96
52,97.66666666666667,108.33333333333333,0.39333333333333337,0.31433333333333335,0.7566666666666667,43.333333333333336,13.666666666666666,0.6666666666666666,0.0,1486.7863239654032,83.25,85.25,0.41675,0.2745,0.7224999999999999,45.25,15.5,5.5,1.0,1477.459731308063,132,103
53,95.5,88.25,0.401,0.34775,0.8685,44.75,13.0,2.0,1.0,1506.4877610261606,104.75,97.0,0.55525,0.45225,0.7249999999999999,38.25,16.5,5.0,0.5,1532.8482519988681,94,82
54,96.0,82.0,0.45766666666666667,0.15733333333333333,0.7276666666666666,44.333333333333336,11.0,3.6666666666666665,1.0,1544.7022849554592,99.33333333333333,108.0,0.44166666666666665,0.219,0.7513333333333335,36.333333333333336,14.333333333333334,4.0,0.0,1449.3374349971666,87,95
55,84.0,90.66666666666667,0.41933333333333334,0.16666666666666666,0.7033333333333333,41.333333333333336,16.333333333333332,5.666666666666667,0.5,1454.3751239967446,96.5,95.25,0.43775000000000003,0.3005,0.682,44.5,16.5,7.25,0.0,1519.4091104152299,92,109
56,92.66666666666667,101.33333333333333,0.411,0.3113333333333333,0.8226666666666667,39.0,14.666666666666666,6.666666666666667,0.0,1469.3367329447656,97.33333333333333,97.33333333333333,0.4486666666666666,0.322,0.8069999999999999,40.666666666666664,17.0,6.333333333333333,0.0,1515.1889543180823,87,98
57,105.75,85.0,0.43700000000000006,0.48575,0.7615,51.75,14.75,6.0,1.0,1582.4665125323932,106.66666666666667,96.66666666666667,0.48266666666666663,0.49733333333333335,0.7719999999999999,37.0,13.666666666666666,4.333333333333333,1.0,1526.256928561742,93,86
58,92.66666666666667,100.33333333333333,0.49200000000000005,0.41533333333333333,0.7723333333333334,34.333333333333336,9.333333333333334,1.6666666666666667,0.0,1481.4538467539837,97.2,95.2,0.4636,0.34140000000000004,0.6888,41.4,17.4,3.8,0.5,1484.5754893739024,78,82
59,99.33333333333333,93.0,0.4776666666666667,0.5416666666666666,0.8390000000000001,34.666666666666664,14.333333333333334,6.666666666666667,1.0,1502.7825618381564,99.2,94.8,0.46159999999999995,0.42540000000000006,0.754,48.8,19.2,5.0,0.0,1483.0778085929799,96,106
60,91.75,111.75,0.45825,0.24975,0.819,35.75,18.5,4.5,0.0,1470.0435491705887,84.4,105.2,0.391,0.2824,0.6782,41.4,17.6,6.2,0.0,1437.5637226175381,103,98
