,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,WINNER
43,103.66666666666667,109.66666666666667,0.4143333333333333,0.3353333333333333,0.8016666666666666,42.0,12.666666666666666,4.333333333333333,0.0,0.0,1477.5044538632092,-3,95.25,95.25,0.4495,0.35624999999999996,0.8254999999999999,40.0,14.25,5.5,0.5,1.0,1504.1621825310756,1,B
44,108.0,88.66666666666667,0.4706666666666666,0.35966666666666663,0.6823333333333333,47.333333333333336,15.333333333333334,6.666666666666667,1.0,1.0,1544.748283644696,3,103.25,109.5,0.43450000000000005,0.29175,0.813,41.75,18.75,3.75,0.25,0.0,1476.4716905018972,-3,B
45,100.66666666666667,97.0,0.41133333333333333,0.301,0.8079999999999999,46.0,9.0,8.333333333333334,0.6666666666666666,0.0,1510.4615441442595,-1,90.0,103.33333333333333,0.4243333333333333,0.34,0.7343333333333333,41.333333333333336,16.666666666666668,7.666666666666667,0.0,0.0,1466.1130446664827,-3,A
46,101.66666666666667,95.66666666666667,0.444,0.22233333333333336,0.844,48.333333333333336,12.666666666666666,4.0,0.6666666666666666,0.0,1515.1984502084536,1,101.0,113.0,0.434,0.25,0.8009999999999999,40.0,16.5,4.0,0.0,0.0,1477.1754686462525,-2,A
47,99.5,107.0,0.42074999999999996,0.36725,0.7505,41.0,15.0,4.75,0.5,1.0,1479.725666621181,-1,102.0,111.0,0.4235,0.22824999999999998,0.7625,42.25,12.25,5.0,0.0,0.0,1464.1324676869958,-4,A
48,103.5,96.5,0.42775,0.27675,0.723,51.75,18.5,4.0,1.0,1.0,1531.7041148357603,4,113.75,111.75,0.48475,0.2985,0.8005,43.0,15.5,4.25,0.75,0.0,1514.4125346134294,3,B
49,100.8,102.6,0.4466,0.3168,0.7738,40.6,15.4,4.0,0.4,0.3333333333333333,1490.241639127627,-2,95.0,105.5,0.40825,0.29175,0.6987500000000001,44.5,12.75,4.5,0.25,0.0,1467.2183298008663,1,B
50,111.0,99.5,0.456,0.38575,0.759,44.25,13.25,4.0,1.0,1.0,1541.1246609087293,4,108.0,105.0,0.49775,0.40349999999999997,0.688,41.0,14.0,6.25,0.75,0.5,1516.9180676576304,2,A
51,101.5,106.5,0.44125000000000003,0.275,0.8185,44.75,12.5,4.75,0.5,0.5,1487.210447709426,1,110.0,112.5,0.46075,0.391,0.7742500000000001,44.25,14.75,6.75,0.5,0.0,1493.6039493126568,1,A
52,107.33333333333333,107.33333333333333,0.41100000000000003,0.33433333333333337,0.7746666666666666,55.0,16.666666666666668,6.0,0.3333333333333333,0.5,1496.651926435593,-2,105.66666666666667,96.0,0.4996666666666667,0.417,0.7276666666666666,43.666666666666664,15.333333333333334,5.0,0.3333333333333333,1.0,1515.0274979064707,1,A
53,107.2,110.8,0.45420000000000005,0.31520000000000004,0.8304,41.8,18.0,4.8,0.4,1.0,1487.0971124193268,1,115.4,108.6,0.49119999999999997,0.3322,0.8004,43.6,15.6,6.2,0.8,1.0,1535.4011416049595,4,A
