,GAME_DATE,TEAM_A_ID,TEAM_B_ID,TEAM_A,TEAM_B,TEAM_A_PTS,TEAM_B_PTS,TEAM_A_ODDS,TEAM_B_ODDS
1908,2010-01-30 23:30:00,1610612745,1610612757,Houston Rockets,Portland Trail Blazers,104,100,1.45,2.80
1909,2010-01-30 23:30:00,1610612759,1610612763,San Antonio Spurs,Memphis Grizzlies,104,97,1.45,2.83
1910,2010-01-30 23:00:00,1610612751,1610612764,Brooklyn Nets,Washington Wizards,79,81,2.39,1.60
1911,2010-01-30 23:00:00,1610612765,1610612748,Detroit Pistons,Miami Heat,65,92,2.12,1.75
1912,2010-01-30 23:00:00,1610612750,1610612746,Minnesota Timberwolves,Los Angeles Clippers,111,97,1.87,1.93
1913,2010-01-30 23:00:00,1610612740,1610612741,New Orleans Pelicans,Chicago Bulls,106,108,1.52,2.61
1914,2010-01-30 23:00:00,1610612760,1610612743,Oklahoma City Thunder,Denver Nuggets,101,84,1.74,2.13
1915,2010-01-31 22:00:00,1610612745,1610612756,Houston Rockets,Phoenix Suns,111,115,1.59,2.42
1916,2010-01-31 22:00:00,1610612750,1610612752,Minnesota Timberwolves,New York Knicks,112,91,1.73,2.14
1917,2010-01-31 22:00:00,1610612760,1610612744,Oklahoma City Thunder,Golden State Warriors,112,104,1.23,4.37
1918,2010-01-31 21:00:00,1610612751,1610612755,Brooklyn Nets,Philadelphia 76ers,79,83,2.97,1.41
1919,2010-01-31 21:00:00,1610612739,1610612746,Cleveland Cavaliers,Los Angeles Clippers,114,89,1.09,8.21
1920,2010-01-31 21:00:00,1610612765,1610612753,Detroit Pistons,Orlando Magic,86,91,2.78,1.46
1921,2010-01-31 21:00:00,1610612761,1610612754,Toronto Raptors,Indiana Pacers,117,102,1.21,4.61
1922,2010-02-01 18:30:00,1610612738,1610612747,Boston Celtics,Los Angeles Lakers,89,90,1.99,1.84
1923,2010-02-01 16:00:00,1610612759,1610612743,San Antonio Spurs,Denver Nuggets,89,103,1.40,2.96
1924,2010-02-01 01:00:00,1610612758,1610612766,Sacramento Kings,Charlotte Hornets,96,103,1.99,1.83
1925,2010-02-01 00:00:00,1610612742,1610612757,Dallas Mavericks,Portland Trail Blazers,112,114,1.22,4.47
1926,2010-01-31 23:30:00,1610612749,1610612748,Milwaukee Bucks,Miami Heat,95,84,1.53,2.56
1927,2010-01-31 23:00:00,1610612763,1610612740,Memphis Grizzlies,New Orleans Pelicans,102,109,1.32,3.50
1928,2010-01-31 23:00:00,1610612764,1610612752,Washington Wizards,New York Knicks,106,96,2.05,1.79
1929,2010-02-01 22:30:00,1610612748,1610612749,Miami Heat,Milwaukee Bucks,81,97,1.38,3.16
1930,2010-02-01 22:00:00,1610612764,1610612738,Washington Wizards,Boston Celtics,88,99,2.92,1.42
1931,2010-02-02 22:30:00,1610612751,1610612765,Brooklyn Nets,Detroit Pistons,93,97,2.24,1.66
1932,2010-02-02 22:00:00,1610612739,1610612763,Cleveland Cavaliers,Memphis Grizzlies,105,89,1.13,5.78
1933,2010-02-02 22:00:00,1610612754,1610612761,Indiana Pacers,Toronto Raptors,130,115,2.02,1.79
1934,2010-02-02 22:00:00,1610612753,1610612749,Orlando Magic,Milwaukee Bucks,99,82,1.18,5.04
1935,2010-02-03 01:00:00,1610612757,1610612766,Portland Trail Blazers,Charlotte Hornets,98,79,1.75,2.11
1936,2010-02-03 00:00:00,1610612743,1610612758,Denver Nuggets,Sacramento Kings,112,109,1.12,6.41
1937,2010-02-03 00:00:00,1610612762,1610612742,Utah Jazz,Dallas Mavericks,104,92,1.56,2.48
1938,2010-02-02 23:00:00,1610612763,1610612747,Memphis Grizzlies,Los Angeles Lakers,95,93,1.91,1.90
1939,2010-02-02 23:00:00,1610612740,1610612756,New Orleans Pelicans,Phoenix Suns,100,109,1.89,1.92
1940,2010-02-03 22:30:00,1610612752,1610612764,New York Knicks,Washington Wizards,107,85,1.39,3.08
1941,2010-02-03 22:00:00,1610612737,1610612746,Atlanta Hawks,Los Angeles Clippers,103,97,1.18,5.09
1942,2010-02-03 22:00:00,1610612755,1610612741,Philadelphia 76ers,Chicago Bulls,106,103,1.77,2.07
1943,2010-02-03 22:00:00,1610612761,1610612751,Toronto Raptors,Brooklyn Nets,108,99,1.12,6.31
1944,2010-02-03 23:30:00,1610612745,1610612744,Houston Rockets,Golden State Warriors,119,97,1.31,3.48
1945,2010-02-03 23:00:00,1610612741,1610612746,Chicago Bulls,Los Angeles Clippers,82,90,1.28,3.71
1946,2010-02-03 23:00:00,1610612760,1610612737,Oklahoma City Thunder,Atlanta Hawks,106,99,1.79,2.03
1947,2010-02-04 01:30:00,1610612743,1610612756,Denver Nuggets,Phoenix Suns,97,109,1.39,3.07
1948,2010-02-04 01:30:00,1610612747,1610612766,Los Angeles Lakers,Charlotte Hornets,99,97,1.15,5.98
1949,2010-02-04 01:00:00,1610612758,1610612759,Sacramento Kings,San Antonio Spurs,113,115,2.66,1.50
1950,2010-02-04 00:00:00,1610612762,1610612757,Utah Jazz,Portland Trail Blazers,118,105,1.29,3.79
1951,2010-02-03 23:30:00,1610612742,1610612744,Dallas Mavericks,Golden State Warriors,110,101,1.10,7.76
1952,2010-02-03 23:00:00,1610612738,1610612748,Boston Celtics,Miami Heat,107,102,1.41,2.97
1953,2010-02-03 23:00:00,1610612740,1610612760,New Orleans Pelicans,Oklahoma City Thunder,99,103,2.15,1.72
1954,2010-02-05 22:30:00,1610612738,1610612751,Boston Celtics,Brooklyn Nets,96,87,1.07,8.98
1955,2010-02-05 22:30:00,1610612752,1610612749,New York Knicks,Milwaukee Bucks,107,114,1.77,2.09
1956,2010-02-05 22:00:00,1610612754,1610612765,Indiana Pacers,Detroit Pistons,107,83,1.63,2.34
1957,2010-02-05 22:00:00,1610612753,1610612764,Orlando Magic,Washington Wizards,91,92,1.07,9.13
1958,2010-02-06 01:30:00,1610612757,1610612759,Portland Trail Blazers,San Antonio Spurs,96,93,2.15,1.73
1959,2010-02-05 23:00:00,1610612739,1610612748,Cleveland Cavaliers,Miami Heat,102,86,1.16,5.43
1960,2010-02-06 22:30:00,1610612739,1610612752,Cleveland Cavaliers,New York Knicks,113,106,1.08,8.67
1961,2010-02-06 22:30:00,1610612765,1610612751,Detroit Pistons,Brooklyn Nets,99,92,1.32,3.46
1962,2010-02-06 22:00:00,1610612766,1610612740,Charlotte Hornets,New Orleans Pelicans,99,104,1.21,4.62
1963,2010-02-07 01:30:00,1610612747,1610612743,Los Angeles Lakers,Denver Nuggets,113,126,1.25,4.04
1964,2010-02-07 01:00:00,1610612758,1610612756,Sacramento Kings,Phoenix Suns,102,114,2.26,1.66
1965,2010-02-06 23:30:00,1610612742,1610612750,Dallas Mavericks,Minnesota Timberwolves,108,117,1.16,5.51
1966,2010-02-06 23:00:00,1610612737,1610612741,Atlanta Hawks,Chicago Bulls,91,81,1.25,4.11
1967,2010-02-06 23:00:00,1610612763,1610612745,Memphis Grizzlies,Houston Rockets,83,101,1.46,2.78
1968,2010-02-06 23:00:00,1610612740,1610612755,New Orleans Pelicans,Philadelphia 76ers,94,101,1.71,2.18
1969,2010-02-07 17:30:00,1610612738,1610612753,Boston Celtics,Orlando Magic,89,96,1.64,2.32
1970,2010-02-07 15:00:00,1610612761,1610612758,Toronto Raptors,Sacramento Kings,115,104,1.25,4.13
1971,2010-02-07 01:30:00,1610612744,1610612760,Golden State Warriors,Oklahoma City Thunder,95,104,2.44,1.58
1972,2010-02-07 01:30:00,1610612746,1610612759,Los Angeles Clippers,San Antonio Spurs,81,98,2.36,1.62
1973,2010-02-07 01:00:00,1610612757,1610612747,Portland Trail Blazers,Los Angeles Lakers,82,99,2.17,1.72
1974,2010-02-07 00:00:00,1610612762,1610612743,Utah Jazz,Denver Nuggets,116,106,1.19,4.99
1975,2010-02-06 23:30:00,1610612745,1610612755,Houston Rockets,Philadelphia 76ers,95,102,1.43,2.88
1976,2010-02-06 23:30:00,1610612749,1610612754,Milwaukee Bucks,Indiana Pacers,93,81,1.35,3.32
1977,2010-02-06 23:00:00,1610612741,1610612748,Chicago Bulls,Miami Heat,95,91,1.86,1.96
1978,2010-02-06 23:00:00,1610612750,1610612763,Minnesota Timberwolves,Memphis Grizzlies,109,102,2.24,1.68
1979,2010-02-09 22:30:00,1610612748,1610612745,Miami Heat,Houston Rockets,99,66,1.47,2.74
1980,2010-02-09 22:30:00,1610612752,1610612758,New York Knicks,Sacramento Kings,114,118,1.44,2.85
1981,2010-02-09 22:00:00,1610612766,1610612764,Charlotte Hornets,Washington Wizards,94,92,1.25,4.07
1982,2010-02-09 22:00:00,1610612739,1610612751,Cleveland Cavaliers,Brooklyn Nets,104,97,1.02,17.80
1983,2010-02-09 22:00:00,1610612754,1610612741,Indiana Pacers,Chicago Bulls,101,109,1.75,2.12
1984,2010-02-09 22:00:00,1610612755,1610612750,Philadelphia 76ers,Minnesota Timberwolves,119,97,1.31,3.51
1985,2010-02-10 01:30:00,1610612744,1610612742,Golden State Warriors,Dallas Mavericks,117,127,2.73,1.47
1986,2010-02-10 01:30:00,1610612747,1610612759,Los Angeles Lakers,San Antonio Spurs,101,89,1.66,2.29
1987,2010-02-09 23:00:00,1610612753,1610612740,Orlando Magic,New Orleans Pelicans,123,117,1.17,5.29
1988,2010-02-09 23:00:00,1610612763,1610612737,Memphis Grizzlies,Atlanta Hawks,94,108,1.96,1.85
1989,2010-02-09 23:00:00,1610612749,1610612765,Milwaukee Bucks,Detroit Pistons,81,93,1.26,4.07
1990,2010-02-10 22:30:00,1610612751,1610612749,Brooklyn Nets,Milwaukee Bucks,77,97,2.79,1.46
1991,2010-02-10 22:30:00,1610612765,1610612758,Detroit Pistons,Sacramento Kings,97,103,1.53,2.57
1992,2010-02-10 22:00:00,1610612737,1610612748,Atlanta Hawks,Miami Heat,76,94,1.32,3.44
1993,2010-02-10 22:00:00,1610612761,1610612755,Toronto Raptors,Philadelphia 76ers,104,93,1.41,2.95
1994,2010-02-11 01:30:00,1610612746,1610612762,Los Angeles Clippers,Utah Jazz,99,109,2.72,1.47
1995,2010-02-11 01:00:00,1610612757,1610612760,Portland Trail Blazers,Oklahoma City Thunder,77,89,2.01,1.82
1996,2010-02-11 00:00:00,1610612743,1610612742,Denver Nuggets,Dallas Mavericks,127,91,1.32,3.45
1997,2010-02-11 01:30:00,1610612744,1610612746,Golden State Warriors,Los Angeles Clippers,132,102,2.10,1.76
1998,2010-02-11 00:00:00,1610612756,1610612757,Phoenix Suns,Portland Trail Blazers,101,108,1.19,5.06
1999,2010-02-11 00:00:00,1610612762,1610612747,Utah Jazz,Los Angeles Lakers,81,96,1.44,2.86
2000,2010-02-10 23:00:00,1610612741,1610612753,Chicago Bulls,Orlando Magic,87,107,2.67,1.50
2001,2010-02-10 23:00:00,1610612750,1610612766,Minnesota Timberwolves,Charlotte Hornets,92,93,2.12,1.74
2002,2010-02-10 23:00:00,1610612740,1610612738,New Orleans Pelicans,Boston Celtics,93,85,2.85,1.45
2003,2010-02-12 01:30:00,1610612743,1610612759,Denver Nuggets,San Antonio Spurs,92,111,1.40,3.02
2004,2010-02-11 23:00:00,1610612739,1610612753,Cleveland Cavaliers,Orlando Magic,115,106,1.39,3.09
2005,2010-02-16 22:30:00,1610612765,1610612750,Detroit Pistons,Minnesota Timberwolves,108,85,1.43,2.91
2006,2010-02-16 22:00:00,1610612766,1610612751,Charlotte Hornets,Brooklyn Nets,94,103,1.12,6.42
2007,2010-02-16 22:00:00,1610612755,1610612748,Philadelphia 76ers,Miami Heat,78,105,1.74,2.13
2008,2010-02-17 22:30:00,1610612751,1610612748,Brooklyn Nets,Miami Heat,84,87,3.43,1.33
2009,2010-02-17 22:30:00,1610612752,1610612741,New York Knicks,Chicago Bulls,109,115,1.75,2.11
2010,2010-02-17 22:00:00,1610612754,1610612759,Indiana Pacers,San Antonio Spurs,87,90,2.71,1.48
2011,2010-02-17 22:00:00,1610612753,1610612765,Orlando Magic,Detroit Pistons,116,91,1.12,6.39
2012,2010-02-17 22:00:00,1610612761,1610612763,Toronto Raptors,Memphis Grizzlies,102,109,1.32,3.48
2013,2010-02-17 22:00:00,1610612764,1610612750,Washington Wizards,Minnesota Timberwolves,108,99,1.47,2.76
2014,2010-02-18 01:30:00,1610612747,1610612744,Los Angeles Lakers,Golden State Warriors,104,94,1.05,10.45
2015,2010-02-18 01:00:00,1610612757,1610612746,Portland Trail Blazers,Los Angeles Clippers,109,87,1.30,3.65
2016,2010-02-18 01:00:00,1610612758,1610612738,Sacramento Kings,Boston Celtics,92,95,3.06,1.39
2017,2010-02-17 23:30:00,1610612745,1610612762,Houston Rockets,Utah Jazz,95,104,2.34,1.63
2018,2010-02-17 23:00:00,1610612741,1610612752,Chicago Bulls,New York Knicks,118,85,1.33,3.36
2019,2010-02-17 23:00:00,1610612763,1610612756,Memphis Grizzlies,Phoenix Suns,95,109,1.91,1.90
2020,2010-02-17 23:00:00,1610612760,1610612742,Oklahoma City Thunder,Dallas Mavericks,99,86,1.49,2.68
2021,2010-02-18 01:30:00,1610612744,1610612758,Golden State Warriors,Sacramento Kings,130,98,1.51,2.62
