,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PER_A,WINNER
168,ORL,1610612753,2018-11-09,117,108,0.512,0.419,0.842,41,16,6,0.36363636363636365,0.2857142857142857,1445.4295532392182,-1,17.061223320879904,1
169,WAS,1610612764,2018-11-09,108,117,0.512,0.407,0.684,35,19,3,0.2,0.16666666666666666,1428.6085104203335,-1,16.41130465551319,0
170,IND,1610612754,2018-11-09,110,102,0.544,0.35,0.586,39,18,5,0.5833333333333334,0.6666666666666666,1520.469135878152,-2,18.906683403280027,1
171,MIA,1610612748,2018-11-09,102,110,0.45,0.519,0.593,38,24,6,0.5,0.6,1506.9630972726393,2,14.397055684887391,0
172,BOS,1610612738,2018-11-09,115,123,0.443,0.395,0.909,28,8,3,0.6363636363636364,0.5714285714285714,1531.8870529269175,1,13.59274466834048,0
173,UTA,1610612762,2018-11-09,123,115,0.558,0.382,0.8,45,17,4,0.45454545454545453,0.2,1506.8190184794892,1,18.305290433534342,1
174,DET,1610612765,2018-11-09,124,109,0.474,0.426,0.632,44,11,6,0.5,0.4,1484.81398784501,1,12.154202001856541,1
175,ATL,1610612737,2018-11-09,109,124,0.456,0.25,0.75,53,16,2,0.2727272727272727,0.4,1425.9882579093837,-2,17.89873287437897,0
176,MIN,1610612750,2018-11-09,110,121,0.415,0.28,0.806,52,17,1,0.3333333333333333,0.0,1452.5030204957525,-4,19.564166427809447,0
177,SAC,1610612758,2018-11-09,121,110,0.453,0.375,0.793,49,13,6,0.5454545454545454,0.5,1500.936665079619,-2,19.641216813603243,1
178,BKN,1610612751,2018-11-09,112,110,0.409,0.364,0.667,42,8,9,0.45454545454545453,0.3333333333333333,1500.622860524753,2,15.43693311693638,1
179,DEN,1610612743,2018-11-09,110,112,0.46,0.278,0.735,54,13,5,0.8181818181818182,1.0,1570.097760520776,-1,17.816684663991612,0
180,BKN,1610612751,2018-11-10,100,116,0.468,0.292,0.724,41,15,2,0.5,0.42857142857142855,1506.748727654145,3,16.244826675738704,0
181,GSW,1610612744,2018-11-10,116,100,0.554,0.438,0.81,36,10,7,0.8333333333333334,0.8571428571428571,1584.985027185627,-1,17.398357202589185,1
182,HOU,1610612745,2018-11-10,89,96,0.333,0.22,0.69,49,8,5,0.4,0.6666666666666666,1464.608856347601,-1,15.896019139233028,0
183,SAS,1610612759,2018-11-10,96,89,0.446,0.5,0.741,46,16,5,0.6,0.6666666666666666,1505.3822537311205,-2,13.489769947252451,1
