,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
360,SAC,1610612758,2017-12-29,101,111,0.463,0.348,0.826,37,9,2,0.35294117647058826,0.5,1404.295561072188,1401.7266341666748,1,15.460156262720371,0
361,PHX,1610612756,2017-12-29,111,101,0.482,0.433,0.667,47,11,5,0.3611111111111111,0.4,1401.7266341666748,1404.295561072188,1,14.236599903988285,1
362,ATL,1610612737,2017-12-29,98,111,0.432,0.375,0.65,48,18,7,0.2647058823529412,0.1,1422.3377243843988,1604.674378025616,2,19.465298978619707,0
363,TOR,1610612761,2017-12-29,111,98,0.438,0.351,0.75,51,12,15,0.696969696969697,1.0,1604.674378025616,1422.3377243843988,-2,17.747086339004294,1
364,OKC,1610612760,2017-12-29,95,97,0.458,0.28,0.6,45,13,5,0.5714285714285714,0.8,1571.1221962048173,1501.6617509462367,6,17.817471306632786,0
365,MIL,1610612749,2017-12-29,97,95,0.471,0.31,0.471,43,9,7,0.5454545454545454,0.4,1501.6617509462367,1571.1221962048173,1,18.056395668541892,1
366,NOP,1610612740,2017-12-29,120,128,0.494,0.258,0.875,31,8,6,0.5294117647058824,0.6,1520.9949116040968,1470.6849137373588,3,21.470808359300566,0
367,DAL,1610612742,2017-12-29,128,120,0.554,0.564,0.778,43,18,4,0.3055555555555556,0.2,1470.6849137373588,1520.9949116040968,2,15.855151216629881,1
368,GSW,1610612744,2017-12-30,141,128,0.588,0.545,0.92,38,10,6,0.7777777777777778,0.7,1641.3723161705004,1410.5705017865641,-1,24.713812363978196,1
369,MEM,1610612763,2017-12-30,128,141,0.521,0.714,0.682,38,8,0,0.3142857142857143,0.1,1410.5705017865641,1641.3723161705004,1,12.506221960894306,0
370,ORL,1610612753,2017-12-30,111,117,0.543,0.444,0.733,37,12,9,0.3333333333333333,0.3,1381.0802598306602,1471.9311430276027,1,16.22110195602256,0
371,MIA,1610612748,2017-12-30,117,111,0.511,0.5,0.833,40,10,2,0.5142857142857142,0.6,1471.9311430276027,1381.0802598306602,-1,17.995252004810773,1
372,DET,1610612765,2017-12-30,93,79,0.444,0.333,0.813,45,11,1,0.5588235294117647,0.6,1498.462344578468,1577.4474301806488,-1,14.321782228321723,1
373,SAS,1610612759,2017-12-30,79,93,0.369,0.192,0.923,46,14,5,0.6944444444444444,0.5,1577.4474301806488,1498.462344578468,3,18.156668989590607,0
