,SEASON_ID,GAME_DATE,TEAM_SELECTED,OPPONENT,PTS_A,PTS_CON_A,FT_PCT_A,FG_PCT_A,FG3_PCT_A,ELO_A,PER_A,HA_PTS_A,HA_PTS_CON_A,SEASON_PTS_A,PTS_B,PTS_CON_B,FT_PCT_B,FG_PCT_B,FG3_PCT_B,ELO_B,PER_B,HA_PTS_B,HA_PTS_CON_B,SEASON_PTS_B,SCORE_A,SCORE_B
29,22018,2019-02-21,BOS,MIL,116.9,110.8,0.8689,0.4851,0.38180000000000003,1623.9699685478074,21.87786031578175,108.1,108.8,113.0,114.7,105.9,0.7796000000000001,0.4777,0.3559,1511.2472939962865,24.67598296811766,120.3,107.3,116.91228070175438,97,98
30,22018,2019-02-23,BOS,CHI,115.5,109.1,0.8588999999999999,0.4819,0.3793,1618.134626388382,21.354142123959047,106.5,105.9,112.72881355932203,114.2,113.6,0.8314,0.49079999999999996,0.3803,1455.612904780264,17.327646367373355,108.8,116.5,103.28813559322033,116,126
31,22018,2019-02-26,BOS,TOR,115.9,111.3,0.8450999999999999,0.48579999999999995,0.3813,1601.0006483267591,20.726591783971486,106.9,108.2,112.78333333333333,115.2,111.0,0.8288,0.4471000000000001,0.36829999999999996,1497.1392113903994,20.615705967570086,115.9,109.2,114.14754098360656,95,118
32,22018,2019-02-27,BOS,POR,112.8,113.7,0.8397,0.46860000000000007,0.3599,1575.5736919612584,19.945762617981284,119.3,112.2,112.49180327868852,119.4,110.5,0.8201,0.48840000000000006,0.3785,1508.275942967672,21.960468964090108,114.1,111.0,113.75,92,97
33,22018,2019-03-01,BOS,WAS,110.7,113.5,0.8296999999999999,0.46909999999999996,0.3427,1566.7129360421238,19.169455196401746,116.3,110.3,112.16129032258064,120.5,125.5,0.8092,0.4920999999999999,0.3498,1495.4044342832199,19.627998469076104,117.2,123.3,114.0,107,96
34,22018,2019-03-03,BOS,HOU,108.0,110.2,0.8297000000000001,0.4545,0.33309999999999995,1575.021531729433,19.230649644459294,116.3,110.0,112.07936507936508,117.0,111.8,0.8747999999999999,0.4528,0.3511,1517.4059092427185,20.237948978418228,115.2,113.3,113.40322580645162,104,115
35,22018,2019-03-05,BOS,GSW,108.1,112.1,0.8056000000000001,0.4537999999999999,0.32709999999999995,1561.5811977420242,18.16316506902083,105.3,108.0,111.953125,115.8,115.9,0.7700000000000001,0.47700000000000004,0.3511,1509.1026258796808,21.779481015808837,124.7,112.7,118.58730158730158,128,95
36,22018,2019-03-09,BOS,LAL,108.0,107.3,0.8048,0.4641,0.331,1584.2086025760782,19.444606620895144,109.0,106.4,112.18181818181819,112.2,120.0,0.7051000000000001,0.47589999999999993,0.3156,1506.2661032162794,10.932118512088838,110.4,115.7,112.1076923076923,120,107
37,22018,2019-03-11,BOS,LAC,108.8,107.1,0.7952,0.46909999999999996,0.323,1593.1973556456028,18.344922784676722,110.8,106.2,112.29850746268657,116.3,112.0,0.8032,0.46370000000000006,0.35359999999999997,1516.7835066029502,17.657485326208487,118.1,115.2,114.17910447761194,115,140
38,22018,2019-03-14,BOS,SAC,108.5,110.1,0.7836,0.4664,0.3209000000000001,1568.3570329583017,18.355841400705863,114.4,111.2,112.33823529411765,115.5,116.4,0.7736,0.44189999999999996,0.35040000000000004,1496.4969377925984,18.852476392410537,108.8,114.9,113.65151515151516,126,120
39,22018,2019-03-16,BOS,ATL,111.4,112.3,0.7734000000000001,0.4787,0.318,1574.178177280834,18.349727516952882,115.9,111.7,112.53623188405797,123.5,120.6,0.7728999999999999,0.44699999999999995,0.3796,1469.4217255460458,22.660360797530885,118.2,119.4,112.65217391304348,129,120
40,22018,2019-03-18,BOS,DEN,112.7,111.7,0.7729,0.47709999999999997,0.31960000000000005,1580.5305809906397,19.23158433911462,117.6,113.3,112.77142857142857,111.8,107.0,0.7788,0.46390000000000003,0.36419999999999997,1510.1480602449662,20.259646062670903,108.7,110.7,111.98529411764706,105,114
41,22018,2019-03-20,BOS,PHI,113.7,111.3,0.7696999999999998,0.4805999999999999,0.3304,1568.1545951046567,17.926957555299634,111.0,109.7,112.66197183098592,112.0,108.6,0.7904,0.46159999999999995,0.345,1476.0088178081046,22.125151960816122,115.6,110.2,115.14084507042253,115,118
42,22018,2019-03-23,BOS,CHA,116.0,113.4,0.7809999999999999,0.481,0.35,1560.554837706316,18.219419350050334,111.2,111.6,112.69444444444444,106.5,110.8,0.8202,0.4293,0.35710000000000003,1482.3966891476246,15.446250361471318,110.7,112.7,110.4225352112676,117,124
43,22018,2019-03-24,BOS,SAS,117.0,116.2,0.7711999999999999,0.4835999999999999,0.3656,1549.5956092075405,19.070410044576658,115.5,115.3,112.75342465753425,110.2,104.0,0.8098000000000001,0.4841000000000001,0.3715,1512.7735344372697,19.340713085408197,108.1,117.1,111.71232876712328,96,115
44,22018,2019-03-26,BOS,CLE,116.2,116.2,0.7766,0.47589999999999993,0.35700000000000004,1531.5880238437462,16.07219832773054,112.6,114.4,112.52702702702703,109.5,114.5,0.8204,0.45249999999999996,0.3702,1464.8171635749936,18.13400430210665,113.9,113.0,104.39189189189189,116,106
45,22018,2019-03-29,BOS,IND,115.0,117.3,0.7562,0.47539999999999993,0.3558,1539.569044581499,18.97991657274464,111.7,113.9,112.57333333333334,101.7,105.7,0.7223999999999999,0.442,0.34190000000000004,1490.9118457603834,16.952684938488595,101.1,110.0,107.76,114,112
46,22018,2019-03-30,BOS,BKN,115.3,117.6,0.747,0.476,0.3645,1543.5727641649494,17.000562437523453,113.0,114.1,112.59210526315789,112.8,113.3,0.6986,0.43570000000000003,0.3557,1493.9237129313158,16.40889990419626,110.6,108.4,112.02631578947368,96,110
47,22018,2019-04-01,BOS,MIA,112.9,117.9,0.7539,0.46659999999999996,0.3677,1528.278040141461,18.482691342398443,110.3,112.2,112.37662337662337,102.9,99.3,0.7221999999999998,0.4373,0.334,1513.6945351014012,16.414083229008224,103.6,104.3,105.61842105263158,110,105
48,22018,2019-04-03,BOS,MIA,112.4,114.4,0.7729999999999999,0.45779999999999993,0.37129999999999996,1534.9424449813887,17.686465390751305,112.9,115.3,112.34615384615384,102.6,102.9,0.7263,0.4364,0.3217,1507.0301302614735,17.66441210466747,109.0,102.6,105.6103896103896,112,102
49,22018,2019-04-05,BOS,IND,111.0,112.6,0.7869999999999999,0.4547999999999999,0.3766999999999999,1544.2795442018844,18.179009798767336,112.5,112.9,112.34177215189874,106.6,105.6,0.7203999999999999,0.4784,0.3684,1486.908126176933,16.26569396683013,112.4,106.0,107.9620253164557,117,97
50,22018,2019-04-07,BOS,ORL,109.8,110.3,0.7988,0.45969999999999994,0.36649999999999994,1557.3781010488651,20.836939749761154,110.1,110.4,112.4,115.7,106.8,0.7702,0.4676,0.3556,1512.2602071920624,20.194886118529574,103.8,109.7,107.025,108,116
51,22018,2019-04-09,BOS,WAS,110.1,110.5,0.8055999999999999,0.465,0.37439999999999996,1546.7424499300982,9.739357176480324,114.7,110.8,112.34567901234568,112.1,117.2,0.7676999999999999,0.4567,0.2882,1487.0958385959107,15.559689573799686,113.5,115.8,114.07407407407408,116,110
