,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,ODDS_A,ODDS_OPP,WINNER
78,DET,1610612765,2021-01-25,119,104,0.5,0.447,0.842,47,19,6,0.1875,0.2222222222222222,1438.0204580398024,1552.0556299613756,-4,16.952791084122623,2.74,1.49,1
79,PHI,1610612755,2021-01-25,104,119,0.426,0.321,0.75,36,9,3,0.7058823529411765,0.42857142857142855,1552.0556299613756,1438.0204580398024,3,21.929657960208864,1.49,2.74,0
80,IND,1610612754,2021-01-25,129,114,0.513,0.414,0.822,45,15,8,0.5625,0.5,1509.3280074279571,1519.2590691557245,-1,19.548969891901358,1.55,2.57,1
81,TOR,1610612761,2021-01-25,114,129,0.409,0.368,0.889,39,12,6,0.4375,0.25,1519.2590691557245,1509.3280074279571,2,20.853860615567474,2.57,1.55,0
82,DEN,1610612743,2021-01-25,117,113,0.506,0.429,0.786,49,18,4,0.5625,0.7142857142857143,1548.0435773865577,1492.2884748637591,3,21.663068666709446,1.76,2.15,1
83,DAL,1610612742,2021-01-25,113,117,0.488,0.344,0.833,34,11,4,0.5,0.4,1492.2884748637591,1548.0435773865577,-1,20.994459660089824,2.15,1.76,0
84,NYK,1610612752,2021-01-26,94,108,0.434,0.37,0.706,44,12,4,0.4444444444444444,0.5,1485.7080133036814,1586.2593806904035,-2,16.95897068987887,5.77,1.16,0
85,UTA,1610612762,2021-01-26,108,94,0.402,0.313,0.864,53,6,5,0.75,0.7142857142857143,1586.2593806904035,1485.7080133036814,8,20.961972583880748,1.16,5.77,1
86,MIN,1610612750,2021-01-27,111,123,0.425,0.389,0.697,39,17,7,0.25,0.14285714285714285,1400.048999477453,1495.947156921315,-1,16.203885223110678,4.11,1.26,0
87,GSW,1610612744,2021-01-27,123,111,0.529,0.441,0.783,46,21,5,0.5294117647058824,0.6,1495.947156921315,1400.048999477453,1,17.38875362891242,1.26,4.11,1
88,CLE,1610612739,2021-01-27,122,107,0.54,0.524,0.739,37,17,7,0.47058823529411764,0.5555555555555556,1461.713959538964,1457.5306390381625,-2,18.05555681014344,1.79,2.1,1
89,DET,1610612765,2021-01-27,107,122,0.451,0.407,0.759,40,22,5,0.23529411764705882,0.14285714285714285,1457.5306390381625,1461.713959538964,1,17.68982482119649,2.1,1.79,0
