,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,PER_A,WINNER
14700,LAC,1610612746,2015-02-27,97,79,0.462,0.346,0.571,47,12,10,0.6379310344827587,0.4,1627.3238542296763,1628.5858465883014,15.49865984285562,1
14701,MEM,1610612763,2015-02-27,79,97,0.379,0.25,0.667,41,16,4,0.7321428571428571,0.9,1628.5858465883014,1627.3238542296763,14.53173227092687,0
14702,MIA,1610612748,2015-02-27,102,104,0.488,0.381,0.75,31,7,7,0.44642857142857145,0.5,1447.62011293031,1498.287039232308,16.082088229694907,0
14703,NOP,1610612740,2015-02-27,104,102,0.513,0.375,0.741,37,11,6,0.5263157894736842,0.5,1498.287039232308,1447.62011293031,15.262761200910914,1
14704,NYK,1610612752,2015-02-28,103,98,0.44,0.368,0.789,44,13,5,0.19298245614035087,0.4,1309.5652044258238,1568.9503993467345,11.223785054737132,1
14705,TOR,1610612761,2015-02-28,98,103,0.42,0.276,0.786,40,12,4,0.6379310344827587,0.6,1568.9503993467345,1309.5652044258238,15.23810280955389,0
14706,SAS,1610612759,2015-02-28,101,74,0.446,0.211,0.882,56,14,6,0.603448275862069,0.4,1583.2150098063569,1531.6903317137228,12.834621062352724,1
14707,PHX,1610612756,2015-02-28,74,101,0.298,0.313,0.792,42,19,4,0.5254237288135594,0.5,1531.6903317137228,1583.2150098063569,16.508169049197544,0
14708,ATL,1610612737,2015-02-28,93,91,0.43,0.4,0.75,37,20,5,0.7931034482758621,0.7,1673.825702306368,1443.6488991704284,11.50248054460874,1
14709,MIA,1610612748,2015-02-28,91,93,0.395,0.269,0.952,47,23,3,0.43859649122807015,0.4,1443.6488991704284,1673.825702306368,16.843816984635723,0
14710,MIL,1610612749,2015-02-28,75,82,0.392,0.333,0.857,39,23,4,0.5517241379310345,0.5,1514.5916165280823,1499.1590873702544,15.181375329596433,0
14711,UTA,1610612762,2015-02-28,82,75,0.382,0.273,0.783,46,23,7,0.38596491228070173,0.6,1499.1590873702544,1514.5916165280823,15.74894948495272,1
14712,DAL,1610612742,2015-02-28,94,104,0.427,0.321,0.833,37,13,3,0.65,0.7,1599.0670892229946,1439.7850380865884,12.961595429380365,0
14713,BKN,1610612751,2015-02-28,104,94,0.519,0.435,0.609,48,15,4,0.4107142857142857,0.3,1439.7850380865884,1599.0670892229946,15.510076704923572,1
14714,MEM,1610612763,2015-02-28,101,97,0.594,0.364,0.724,43,24,7,0.7192982456140351,0.7,1613.2845765241466,1375.1610435613932,14.29713009045582,1
14715,MIN,1610612750,2015-02-28,97,101,0.386,0.368,0.815,35,12,1,0.22807017543859648,0.5,1375.1610435613932,1613.2845765241466,12.34122557646169,0
14716,DET,1610612765,2015-02-28,95,99,0.481,0.308,0.524,40,18,2,0.39655172413793105,0.5,1466.6044324933746,1457.4157018430867,12.378783096817454,0
14717,WAS,1610612764,2015-02-28,99,95,0.474,0.35,0.72,43,13,2,0.559322033898305,0.4,1457.4157018430867,1466.6044324933746,14.712767392774682,1
14718,OKC,1610612760,2015-03-01,108,101,0.412,0.344,0.739,55,9,6,0.5423728813559322,0.4,1610.870225356609,1362.3195276731926,14.66330531735008,1
14719,LAL,1610612747,2015-03-01,101,108,0.444,0.36,0.667,49,9,6,0.2807017543859649,0.3,1362.3195276731926,1610.870225356609,14.663412203062503,0
14720,LAC,1610612746,2015-03-01,96,86,0.437,0.259,0.542,55,9,12,0.6440677966101694,0.4,1642.625124293831,1574.871965263367,17.537341022194042,1
14721,CHI,1610612741,2015-03-01,86,96,0.31,0.385,0.733,51,12,1,0.6271186440677966,0.6,1574.871965263367,1642.625124293831,13.2667634324725,0
14722,GSW,1610612744,2015-03-01,106,101,0.421,0.353,0.824,55,10,8,0.8035714285714286,0.6,1709.1715682068611,1437.119096464292,19.94032468111742,1
14723,BOS,1610612738,2015-03-01,101,106,0.367,0.258,0.765,60,8,3,0.4107142857142857,0.6,1437.119096464292,1709.1715682068611,16.25999605723083,0
14724,ORL,1610612753,2015-03-01,83,98,0.365,0.4,0.75,44,11,3,0.31666666666666665,0.4,1342.0402436513648,1452.2912184640209,14.907451914154482,0
14725,CHA,1610612766,2015-03-01,98,83,0.5,0.444,0.714,47,16,4,0.4107142857142857,0.5,1452.2912184640209,1342.0402436513648,17.26555449385582,1
14726,CLE,1610612739,2015-03-01,103,105,0.408,0.3,0.524,53,16,5,0.6166666666666667,0.7,1606.0932501217299,1618.0424010201566,16.17915928983839,0
14727,HOU,1610612745,2015-03-01,105,103,0.459,0.367,0.788,36,23,5,0.6896551724137931,0.8,1618.0424010201566,1606.0932501217299,16.622827586239442,1
14728,PHI,1610612755,2015-03-01,74,94,0.345,0.208,0.647,47,18,6,0.22413793103448276,0.0,1309.508974196535,1494.9169510419463,13.83639689530225,0
14729,IND,1610612754,2015-03-01,94,74,0.409,0.167,0.76,53,14,9,0.41379310344827586,0.5,1494.9169510419463,1309.508974196535,17.958184360162342,1
14730,SAC,1610612758,2015-03-01,99,110,0.453,0.25,0.783,33,13,2,0.35714285714285715,0.3,1406.516295453275,1610.1479956431083,10.6133956558082,0
14731,POR,1610612757,2015-03-01,110,99,0.494,0.417,0.9,43,17,3,0.6666666666666666,0.2,1610.1479956431083,1406.516295453275,16.63200755600804,1
14732,NOP,1610612740,2015-03-01,99,92,0.486,0.227,0.733,44,16,4,0.5344827586206896,0.5,1502.2582529921895,1368.5460004144156,13.428210636542817,1
14733,DEN,1610612743,2015-03-01,92,99,0.402,0.273,0.529,44,13,3,0.3448275862068966,0.1,1368.5460004144156,1502.2582529921895,13.928174025614986,0
14734,PHI,1610612755,2015-03-02,103,114,0.526,0.4,0.684,36,16,6,0.22033898305084745,0.6,1302.2079042472792,1554.4483852779597,11.197556372513679,0
